RecordID,daysSinceLastLogin,productsListed,productsPassRate,productsWished,seniorityAsMonths,socialNbFollowers,socialNbFollows,socialProductsLiked,language_de,language_en,language_es,language_fr,language_it,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,Gender_Byte,transact
1,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
4,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
13,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
15,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
19,2.84932369266923e-05,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,1,0,0,0,0,0,0,1,1,0
25,8.03237917171517e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
30,6.13283004326902e-04,0,0,5.54870530209618e-03,1,0,6.01503759398496e-02,0,0,1,0,0,0,1,1,0,1,1,0
37,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
39,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
42,2.00809479292879e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
45,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
49,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
51,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,0,0,1,0,0,0,0,1,1,0
55,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
56,8.43942541352506e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
61,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
62,8.14092483619781e-06,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
